"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        测试添加管理员
        ","154","添加管理员","script","2026-07-16","failed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","218","添加管理员","script","2026-07-16","passed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","182","添加管理员","script","2026-07-16","failed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","141","添加管理员","script","2026-07-16","failed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","197","添加管理员","script","2026-07-16","passed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","257","添加管理员","script","2026-07-16","passed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试获取管理员列表
        ","302","获取管理员列表","script","2026-07-16","passed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","224","添加管理员","script","2026-07-16","passed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","189","添加管理员","script","2026-07-16","failed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","173","添加管理员","script","2026-07-16","failed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
"
        测试添加管理员
        ","287","添加管理员","script","2026-07-16","passed","2026-07-16","TestStaffAdministrator","test_staff_administrator","",""
